Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
HD 4747 	4747	00 49 26.77	-23 12 44.94	7.15	NULL	53.51	0.53	Simbad	5340	40	4.65	0.06	NULL	NULL	NULL	NULL	-0.22	0.04	0.86	0.06	Crepp et al. 2016	http://adsabs.harvard.edu/abs/2016arXiv160400398C	0	2016-09-12	NULL	NULL
HD 47536	47536	06 37 47.61	-32 20 23.04	5.26	0.01	8.11	0.23	Simbad	4447	70	2.26	0.17	NULL	NULL	1.7	0.07	-0.65	0.04	0.98	0.09	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 48265	48265	06 40 01.72	-48 32 31.03	8.03	0.01	11.71	0.58	Simbad	5798	29	3.95	0.14	NULL	NULL	1.36	0.03	0.36	0.02	1.21	0.04	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 49674	49674	06 51 30.51	+40 52 03.92	8.1	0.01	22.61	0.87	Simbad	5644	54	4.37	0.07	NULL	NULL	0.89	0.07	0.33	0.06	1.04	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 50499	50499	06 52 02.00	-33 54 56.00	7.22	0.01	21.68	0.49	Simbad	5902	47	4.29	0.03	NULL	NULL	1.23	0.03	0.23	0.06	1.19	0.08	Sousa et al. 2006	http://adsabs.harvard.edu/abs/2006A%26A...458..873S	1	2015-06-04	NULL	NULL
HD 50554	50554	06 54 42.82	+24 14 44.01	6.84	0.01	33.43	0.59	Simbad	6026	30	4.41	0.13	NULL	NULL	1.11	0.06	0.01	0.04	1.06	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 51608	51608	06 54 51.34	-55 15 33.57	8.17	0.01	28.71	0.51	Simbad	5358	22	4.36	0.05	NULL	NULL	0.73	0.04	-0.07	0.01	0.86	0.06	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 52265	52265	07 00 18.03	-05 22 01.78	6.3	NULL	34.53	0.4	Simbad	6136	31	4.36	0.03	NULL	NULL	1.32	0.03	0.21	0.02	1.19	0.08	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 5319 	5319	00 55 01.40	+00 47 22.40	8.05	NULL	8.74	0.86	Simbad	4869	51	3.22	0.1	NULL	NULL	1.11	0.05	0.02	0.03	1.28	0.1	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 5583 	5583	00 57 57.00	+34 59 08.00	7.6	0.01	3.4	NULL	Spec	4986	35	2.87	0.09	NULL	NULL	1.62	0.04	-0.35	0.03	1.84	0.18	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HD 5608 	5608	00 58 14.21	+33 57 03.18	6	NULL	17.74	0.4	Simbad	4911	51	3.25	0.16	NULL	NULL	1.18	0.06	0.12	0.03	1.67	0.08	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 564  	564	00 09 53.00	-50 16 04.00	8.29	0.01	18.64	0.88	Simbad	5902	61	4.53	0.1	NULL	NULL	0.95	0.02	-0.2	0.05	1.1	0.08	Sousa et al. 2011a	http://adsabs.harvard.edu/abs/2011A%26A...526A..99S	1	2017-05-03	NULL	NULL
HD 5891 	5891	01 00 33.19	+20 17 32.93	8.11	0.01	3.98	1.21	Simbad	4825	47	2.62	0.1	NULL	NULL	1.69	0.05	-0.38	0.04	1.09	0.19	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 59686	59686	07 31 48.39	+17 05 09.77	5.45	NULL	10.32	0.28	Simbad	4666	76	2.57	0.21	NULL	NULL	1.49	0.07	0.12	0.04	2.02	0.29	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 60532	60532	07 34 03.18	-22 17 45.83	4.39	NULL	39.53	0.27	Simbad	6273	37	4.02	0.04	NULL	NULL	1.88	0.05	-0.09	0.02	1.35	0.09	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 62509	62509	07 45 18.94	+28 01 34.31	1.15	NULL	96.54	0.27	Simbad	4935	49	2.91	0.13	NULL	NULL	1.34	0.05	0.09	0.04	2.08	0.09	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 63454	63454	07 39 21.85	-78 16 44.30	9.36	0.02	28.95	0.81	Simbad	4756	77	4.32	0.22	NULL	NULL	0.31	0.42	0.13	0.05	0.77	0.08	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HD 63765	63765	07 47 49.71	-54 15 50.92	8.1	NULL	30.07	0.56	Simbad	5432	19	4.42	0.03	NULL	NULL	0.82	0.03	-0.16	0.01	0.85	0.06	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 6434 	6434	01 04 40.15	-39 29 17.58	7.72	NULL	24.17	0.61	Simbad	5835	59	4.6	0.12	NULL	NULL	1.53	0.27	-0.52	0.08	0.84	0.07	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 65216	65216	07 53 41.32	-63 38 50.36	7.96	0.01	28.11	0.59	Simbad	5612	16	4.44	0.02	NULL	NULL	0.78	0.03	-0.17	0.01	0.88	0.06	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 66141	66141	08 02 15.93	+02 20 04.45	4.4	NULL	12.84	0.25	Simbad	4320	50	1.9	0.15	NULL	NULL	1.59	0.05	-0.42	0.03	1	0.06	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 66428	66428	08 03 28.66	-01 09 45.74	8.26	0.01	18.21	1.07	Simbad	5705	27	4.31	0.06	NULL	NULL	0.96	0.03	0.25	0.02	1.06	0.08	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 67087	67087	08 07 40.00	+31 33 05.00	8.05	0.01	12.15	0.83	Simbad	6330	47	4.19	0.06	NULL	NULL	NULL	NULL	0.25	0.04	1.37	0.1	Harakawa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150307636H	0	2015-05-07	NULL	NULL
HD 6718 	6718	01 07 48.66	-08 14 01.33	8.45	0.01	18.23	0.76	Simbad	5723	15	4.44	0.02	NULL	NULL	0.84	0.02	-0.07	0.01	0.94	0.07	Sousa et al. 2011b	http://adsabs.harvard.edu/abs/2011A%26A...533A.141S	1	2013-02-26	NULL	NULL
HD 68402	68402	08 05 24.00	-74 24 38.00	9.11	0.02	12.82	0.61	Simbad	5950	100	4.47	0.05	NULL	NULL	NULL	NULL	0.29	0.1	1.17	0.09	Jenkins et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.09391	0	2016-04-06	NULL	NULL
HD 68988	68988	08 18 22.17	+61 27 38.59	8.19	0.01	18.34	0.78	Simbad	5988	52	4.45	0.15	NULL	NULL	1.25	0.08	0.36	0.06	1.16	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 69830	69830	08 18 23.94	-12 37 55.81	5.95	NULL	80.04	0.35	Simbad	5402	28	4.4	0.04	NULL	NULL	0.8	0.04	-0.06	0.02	0.86	0.06	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 70573	70573	08 22 49.95	+01 51 33.55	8.67	0.01	27.29	NULL	Spec	5767	122	4.81	0.28	NULL	NULL	1.1	0.26	-0.18	0.09	0.9	0.08	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 70642	70642	08 21 28.13	-39 42 19.47	7.18	NULL	35.63	0.44	Simbad	5668	22	4.4	0.04	NULL	NULL	0.82	0.03	0.18	0.01	1	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 7199 	7199	01 10 47.22	-66 11 17.40	8.03	0.01	28.33	0.57	Simbad	5386	45	4.34	0.08	NULL	NULL	1.01	0.07	0.28	0.03	0.95	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 72659	72659	08 34 03.19	-01 34 05.57	7.47	0.01	20.07	0.75	Simbad	5926	12	4.24	0.01	NULL	NULL	1.13	0.01	-0.02	0.01	1.08	0.07	Sousa et al. 2011b	http://adsabs.harvard.edu/abs/2011A%26A...533A.141S	1	2013-02-26	NULL	NULL
HD 72892	72892	08 34 53.00	-14 27 24.00	8.83	0.02	13.74	0.83	Simbad	5688	100	4.27	0.05	NULL	NULL	NULL	NULL	0.25	0.1	1.14	0.09	Jenkins et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.09391	0	2016-04-06	NULL	NULL
HD 73256	73256	08 36 23.01	-30 02 15.44	8.06	0.01	26.48	0.64	Simbad	5526	30	4.42	0.06	NULL	NULL	1.11	0.04	0.23	0.02	0.96	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 73267	73267	08 36 17.77	-34 27 35.92	8.87	0.01	18.45	0.93	Simbad	5373	30	4.37	0.05	NULL	NULL	0.66	0.06	0.05	0.02	0.89	0.06	Sousa et al. 2011b	http://adsabs.harvard.edu/abs/2011A%26A...533A.141S	1	2013-02-26	NULL	NULL
HD 73526	73526	08 37 16.48	-41 19 08.76	9	NULL	9.93	1.01	Simbad	5699	49	4.27	0.12	NULL	NULL	1.26	0.06	0.27	0.06	1.09	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 73534	73534	08 39 15.80	+12 57 37.34	8.24	0.01	12.34	0.74	Simbad	4884	63	3.59	0.2	NULL	NULL	1	0.08	0.16	0.04	1.17	0.07	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 74156	74156	08 42 25.12	+04 34 41.14	7.61	0.01	15.52	0.54	Simbad	6112	39	4.34	0.1	NULL	NULL	1.38	0.07	0.16	0.05	1.17	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 7449 	7449	01 14 29.32	-05 02 50.59	7.48	0.01	25.69	0.48	Simbad	6024	13	4.51	0.03	NULL	NULL	1.11	0.01	-0.11	0.01	0.99	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 75289	75289A	08 47 40.38	-41 44 12.45	6.36	NULL	34.31	0.32	Simbad	6161	21	4.37	0.03	NULL	NULL	1.29	0.02	0.3	0.01	1.23	0.08	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 75784	75784	08 52 23.94	+13 14 0.370	7.84	0.01	11.54	0.83	Simbad	4917	44	3.56	0.06	NULL	NULL	NULL	NULL	0.25	0.03	1.28	0.1	Giguere et al. 2014	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1411.5374	0	2016-09-12	NULL	NULL
HD 75898	75898	08 53 50.80	+33 03 24.51	8.03	0.01	13.2	0.82	Simbad	6137	29	4.31	0.05	NULL	NULL	1.36	0.03	0.3	0.02	1.25	0.08	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 76700	76700	08 53 55.51	-66 48 03.58	8.13	NULL	16.59	0.56	Simbad	5737	34	4.25	0.14	NULL	NULL	1.18	0.04	0.41	0.05	1.17	0.1	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 77065	77065	09 00 47.00	+21 27 13.00	8.8	NULL	31.52	1.05	Simbad	4990	100	4.28	0.2	NULL	NULL	NULL	NULL	-0.51	0.1	0.79	0.08	Wilson et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749	1	2016-02-25	NULL	NULL
HD 77338	77338	09 01 12.49	-25 31 37.42	8.59	0.01	24.54	1.06	Simbad	5440	52	4.36	0.11	NULL	NULL	1.16	0.08	0.28	0.04	0.97	0.08	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 7924 	7924	01 21 59.11	+76 42 37.03	7.19	NULL	59.49	0.46	Simbad	5133	68	4.46	0.12	NULL	NULL	0.71	0.13	-0.22	0.04	0.77	0.06	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 79498	79498	09 15 09.40	+23 22 31.98	8.02	0.01	21.69	0.63	Simbad	5814	26	4.4	0.04	NULL	NULL	1.09	0.03	0.23	0.02	1.06	0.07	Delgado-Mena et al. 2014	http://adsabs.harvard.edu/abs/2013arXiv1311.6414D	1	2017-01-09	NULL	NULL
HD 80606	80606	09 22 37.56	+50 36 13.48	9	0.02	5.63	6.65	Simbad	5574	72	4.46	0.2	4.42	0.02	1.14	0.09	0.32	0.09	1	0.09	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-04-15	NULL	NULL
HD 81040	81040	09 23 47.08	+20 21 52.03	7.73	0.01	30.2	1.03	Simbad	5692	58	4.36	0.05	NULL	NULL	0.73	0.09	-0.01	0.08	0.97	0.07	Sousa et al. 2006	http://adsabs.harvard.edu/abs/2006A%26A...458..873S	1	2013-02-26	NULL	NULL
HD 81688	81688	09 28 39.98	+45 36 05.33	5.41	NULL	11.65	0.39	Simbad	4903	21	2.7	0.05	NULL	NULL	1.54	0.02	-0.21	0.02	2.11	0.16	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HD 82886	82886	09 35 45.18	+34 46 50.67	7.63	0.01	7.97	0.74	Simbad	5123	18	3.3	0.04	NULL	NULL	1.16	0.02	-0.25	0.13	1.44	0.19	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HD 82943	82943	09 34 50.73	-12 07 46.37	6.53	0.01	36.4	0.47	Simbad	5989	20	4.43	0.02	NULL	NULL	1.1	0.02	0.26	0.01	1.12	0.08	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 83443	83443	09 37 11.82	-43 16 19.93	8.24	NULL	24.29	0.73	Simbad	5511	45	4.43	0.08	NULL	NULL	0.93	0.07	0.34	0.03	0.98	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 8535 	8535	01 23 37.23	-41 16 11.28	7.69	0.01	19.03	0.6	Simbad	6158	13	4.42	0.02	NULL	NULL	1.25	0.01	0.04	0.01	1.11	0.08	Sousa et al. 2011b	http://adsabs.harvard.edu/abs/2011A%26A...533A.141S	1	2013-02-26	NULL	NULL
HD 85390	85390	09 50 02.49	-49 47 24.96	8.55	NULL	30.89	0.62	Simbad	5135	45	4.32	0.12	NULL	NULL	0.66	0.08	-0.09	0.02	0.82	0.07	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HD 85512	85512	09 51 07.05	-43 30 10.02	7.65	NULL	89.62	0.67	Simbad	4400	45	4.36	0.1	NULL	NULL	0.02	0.05	-0.26	0.14	0.66	0.05	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HD 8574 	8574	01 25 12.51	+28 34 00.10	7.11	0.01	22.44	0.53	Simbad	6151	57	4.51	0.1	NULL	NULL	1.45	0.15	0.06	0.07	1.09	0.08	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 86081	86081	09 56 05.91	-03 48 30.32	8.7	0.02	10.49	0.99	Simbad	6036	23	4.21	0.04	NULL	NULL	1.34	0.03	0.22	0.02	1.23	0.08	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 86226	86226	09 56 29.84	-24 05 57.79	7.93	0.01	22.2	0.76	Simbad	5947	21	4.54	0.04	NULL	NULL	1.12	0.03	0.02	0.02	1	0.07	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 86264	86264	09 56 57.83	-15 53 42.43	7.41	0.01	14.54	0.56	Simbad	6596	78	4.47	0.15	NULL	NULL	1.9	0.09	0.37	0.06	1.42	0.11	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 8673 	8673	01 26 08.79	+34 34 46.92	6.31	NULL	27.73	0.4	Simbad	6472	51	4.27	0.22	NULL	NULL	NULL	NULL	0.14	0.05	1.35	0.1	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
HD 86950	86950	10 01 38.00	-17 19 59.00	7.46	0.01	5.92	0.67	Simbad	4805	100	2.66	0.15	NULL	NULL	NULL	NULL	0.04	0.1	2.24	0.33	Wittenmyer et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.07648	0	2016-12-02	NULL	NULL
HD 87646A	87646	10 06 40.8	+17 53 42.00	8.07	0.01	10.12	1.5	Simbad	5770	80	4.1	0.1	NULL	NULL	1.8	NULL	-0.17	0.08	1.13	0.09	Ma et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.03597	0	2016-09-13	NULL	NULL
HD 87883	87883	10 08 43.13	+34 14 32.13	7.55	0.01	54.93	0.54	Simbad	4917	68	4.34	0.19	NULL	NULL	0.46	0.21	0.02	0.03	0.85	0.08	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HD 88133	88133	10 10 07.67	+18 11 12.72	8.06	NULL	12.28	0.88	Simbad	5438	34	3.94	0.11	NULL	NULL	1.16	0.03	0.33	0.05	1.18	0.06	Santos et al. 2005	http://adsabs.harvard.edu/abs/2005A%26A...437.1127S	1	2013-02-26	NULL	NULL
HD 89307	89307	10 18 21.28	+12 37 15.98	7.03	0.01	30.9	0.68	Simbad	5967	32	4.51	0.01	NULL	NULL	1.33	0.08	-0.13	0.04	0.97	0.07	Sousa et al. 2006	http://adsabs.harvard.edu/abs/2006A%26A...458..873S	1	2013-02-26	NULL	NULL
HD 89744	89744	10 22 10.56	+41 13 46.31	5.74	NULL	25.36	0.31	Simbad	6234	45	3.98	0.05	NULL	NULL	1.62	0.08	0.22	0.05	1.48	0.02	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
HD 90156	90156	10 23 55.27	-29 38 43.90	6.92	NULL	44.74	0.49	Simbad	5599	12	4.48	0.02	NULL	NULL	0.86	0.02	-0.24	0.01	0.86	0.06	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 9174 	9174	01 30 01.00	-19 36 16.00	8.4	0.01	12.67	0.92	Simbad	5577	100	4.03	0.05	NULL	NULL	NULL	NULL	0.39	0.1	1.25	0.1	Jenkins et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.09391	0	2016-04-06	NULL	NULL
HD 92788	92788	10 42 48.52	-02 11 01.52	7.3	0.01	28.2	0.73	Simbad	5744	24	4.39	0.04	NULL	NULL	0.95	0.03	0.27	0.02	1.05	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 93083	93083	10 44 20.91	-33 34 37.27	8.33	NULL	35.9	0.89	Simbad	5048	66	4.32	0.16	NULL	NULL	0.81	0.12	0.08	0.04	0.83	0.08	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HD 93385	93385	10 46 15.11	-41 27 51.72	7.49	0.01	23.7	0.69	Simbad	5977	18	4.42	0.02	NULL	NULL	1.14	0.02	0.02	0.01	1.04	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 9446 	9446	01 33 20.18	+29 15 54.53	8.35	NULL	19.1	1.06	Simbad	5793	22	4.53	0.16	NULL	NULL	1.01	0.03	0.09	0.05	0.98	0.08	Hebrard et al. 2010	http://adsabs.harvard.edu/abs/2010A%26A...513A..69H	1	2013-02-26	NULL	NULL
HD 95089	95089	10 58 47.73	+01 43 45.17	7.95	0.01	7.19	0.83	Simbad	4950	68	3.32	0.18	NULL	NULL	1.27	0.08	0	0.05	1.38	0.12	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 95127	95127	10 59 35.00	+43 48 52.00	8.15	0.02	3.06	0.99	Simbad	4218	90	3.82	0.27	NULL	NULL	NULL	NULL	-0.18	NULL	NULL	NULL	Niedzielski et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150107076N	0	2015-03-19	NULL	NULL
HD 9578 	9578	01 33 17.14	-38 14 42.05	8.2	0.01	17.44	0.85	Simbad	6070	22	4.53	0.02	NULL	NULL	1.1	0.03	0.16	0.01	1.09	0.07	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 95872	95872	11 03 28.00	-22 05 38.00	9.9	NULL	11.6	NULL	Spec	5312	100	4.43	0.15	NULL	NULL	NULL	NULL	0.41	0.09	1.03	0.09	Endl et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1512.02965	0	2016-01-13	NULL	NULL
HD 96063	96063	11 04 44.45	-02 30 47.58	8.25	0.02	6.33	0.82	Simbad	5131	26	3.44	0.06	NULL	NULL	1.14	0.03	-0.2	0.02	1.41	0.09	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 96127	96127	11 05 45.94	+44 18 05.60	7.41	0.01	2.07	0.58	Simbad	4179	110	1.59	0.34	NULL	NULL	2.01	0.11	-0.29	0.05	3.66	1.02	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
HD 96167	96167	11 05 15.06	-10 17 28.68	8.08	0.01	11.5	0.89	Simbad	5823	32	4.16	0.08	NULL	NULL	1.28	0.03	0.38	0.02	1.24	0.09	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 96700	96700	11 07 54.42	-30 10 28.43	6.5	0.01	38.98	0.47	Simbad	5845	13	4.39	0.02	NULL	NULL	1.04	0.01	-0.18	0.01	0.96	0.07	Sousa et al. 2008	http://adsabs.harvard.edu/abs/2008A%26A...487..373S	1	2013-02-26	NULL	NULL
HD 97658	97658	11 14 33.16	+25 42 37.39	7.71	NULL	47.36	0.75	Simbad	5137	36	4.47	0.09	NULL	NULL	0.63	0.08	-0.35	0.02	0.75	0.06	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
HD 98219	98219	11 17 47.55	-23 58 31.49	8.03	0.01	7.45	0.67	Simbad	5046	71	3.59	0.14	NULL	NULL	1.07	0.08	0.05	0.05	1.62	0.11	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
HD 98649	98649	11 20 51.76	-23 13 02.43	7.99	0.01	24.08	0.79	Simbad	5714	22	4.37	0.05	NULL	NULL	1.01	0.03	-0.03	0.02	0.96	0.07	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 99109	99109	11 24 17.35	-01 31 44.66	9.06	0.03	20.03	1.38	Simbad	5327	61	4.38	0.12	NULL	NULL	0.98	0.09	0.3	0.04	0.93	0.08	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2013-02-26	NULL	NULL
HD 99492	99492	11 26 46.27	+03 00 22.76	7.53	NULL	55.69	1.46	Simbad	4815	185	4.28	0.46	NULL	NULL	0.5	0.56	0.24	0.12	0.84	0.18	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	NULL
HD 99706	99706	11 28 30.21	+43 57 59.69	7.64	0.01	7.76	0.68	Simbad	4891	35	3.07	0.08	NULL	NULL	1.15	0.03	0.02	0.03	1.68	0.15	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
HIP 105854	203949	21 26 22.87	-37 49 45.95	5.64	NULL	12.37	0.31	Simbad	4780	100	2.94	0.2	NULL	NULL	NULL	NULL	0.31	0.18	2.1	0.1	Jones et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1406.0884J	NULL	2014-06-11	NULL	NULL
HIP 107773	207229	21 50 00.00	-64 42 45.00	5.62	NULL	9.65	0.4	Simbad	4957	49	2.83	0.09	NULL	NULL	1.49	0.05	0.04	0.04	2.06	0.2	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HIP 109384	NULL	22 08 31.99	+71 18 51.84	9.63	0.02	17.84	0.85	Simbad	5180	45	4.43	0.1	NULL	NULL	NULL	NULL	-0.26	0.03	0.84	0.06	Hebrard et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622	1	2016-02-25	NULL	NULL
HIP 109600	NULL	22 12 06.00	+29 03 57.00	9.16	0.02	17.12	0.93	Simbad	5530	35	4.45	0.03	NULL	NULL	NULL	NULL	-0.12	0.02	0.95	0.06	Hebrard et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622	1	2016-02-25	NULL	NULL
HIP 116454	NULL	23 35 49.00	+00 26 44.00	10.19	0.01	18.1	1.72	Simbad	5042	72	4.55	0.15	NULL	NULL	0.71	0.17	-0.16	0.03	0.81	0.06	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HIP 11915	16008	02 33 49.00	-19 36 43.00	8.58	0.01	17.45	1.07	NULL	5770	14	4.47	0.03	NULL	NULL	0.95	0.02	-0.06	0.01	1.03	0.07	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
